                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.90952,                0.62672,                 1.0769,                0.87285,                0.82787,                0.88059,                0.55325,                 1.2605,                0.74342,                 1.3265,                0.00604,                0.00604,                0.00604
                    122,                0.91424,                0.62509,                 1.0738,                 0.8495,                0.83853,                0.88513,                0.54503,                 1.2642,                0.75599,                 1.3468,               0.006007,               0.006007,               0.006007
                    123,                0.90845,                0.62679,                 1.0725,                0.84702,                0.85075,                0.88136,                0.54712,                 1.2649,                0.74862,                 1.3433,               0.005974,               0.005974,               0.005974
                    124,                 0.9021,                0.61304,                 1.0728,                0.87311,                0.84204,                0.88603,                0.55141,                 1.3033,                0.72267,                 1.3695,               0.005941,               0.005941,               0.005941
                    125,                0.90139,                0.61494,                 1.0588,                 0.8589,                0.85926,                 0.8833,                0.54302,                 1.3005,                0.72997,                 1.3599,               0.005908,               0.005908,               0.005908
                    126,                0.89326,                0.60691,                 1.0654,                0.86306,                0.84844,                0.87393,                0.54045,                 1.3157,                0.75309,                   1.36,               0.005875,               0.005875,               0.005875
                    127,                0.90484,                 0.6277,                 1.0737,                0.86218,                0.85173,                0.88206,                0.54845,                 1.3075,                0.73351,                 1.3601,               0.005842,               0.005842,               0.005842
                    128,                0.89562,                0.60977,                 1.0745,                0.84942,                0.83197,                0.88578,                0.55382,                 1.2971,                0.73586,                 1.3551,               0.005809,               0.005809,               0.005809
                    129,                0.89397,                0.60907,                 1.0677,                0.84487,                0.84727,                0.88588,                0.55361,                 1.3025,                0.75502,                 1.3566,               0.005776,               0.005776,               0.005776
                    130,                0.89039,                0.62346,                 1.0636,                0.85763,                0.84536,                0.87867,                0.54722,                 1.3199,                 0.7304,                 1.3787,               0.005743,               0.005743,               0.005743
                    131,                0.90182,                 0.6095,                 1.0685,                0.85286,                0.83628,                0.87853,                  0.545,                 1.3138,                0.74315,                 1.3651,                0.00571,                0.00571,                0.00571
                    132,                0.89545,                0.60807,                 1.0676,                0.84768,                0.85299,                0.87697,                0.54166,                 1.3109,                0.74849,                 1.3617,               0.005677,               0.005677,               0.005677
                    133,                0.89066,                0.60067,                 1.0598,                0.86871,                 0.8564,                0.88553,                0.54468,                 1.3115,                0.76967,                 1.3622,               0.005644,               0.005644,               0.005644
                    134,                0.88647,                0.60097,                 1.0558,                0.84909,                0.83923,                0.88317,                0.54454,                 1.3242,                0.75747,                 1.3655,               0.005611,               0.005611,               0.005611
                    135,                0.88834,                0.59915,                 1.0616,                 0.8726,                0.84962,                0.89068,                0.55398,                 1.2983,                0.73899,                 1.3516,               0.005578,               0.005578,               0.005578
                    136,                  0.891,                0.60486,                 1.0629,                0.86902,                0.84703,                0.88669,                0.55693,                 1.2938,                0.73365,                 1.3487,               0.005545,               0.005545,               0.005545
                    137,                0.88267,                0.60053,                 1.0666,                0.85873,                0.84671,                0.88241,                0.55011,                 1.3014,                0.74827,                 1.3573,               0.005512,               0.005512,               0.005512
                    138,                0.86945,                0.58543,                 1.0514,                0.86261,                0.83992,                  0.882,                0.54794,                 1.2971,                0.75244,                 1.3596,               0.005479,               0.005479,               0.005479
                    139,                0.88515,                0.60614,                 1.0628,                0.87444,                0.83532,                 0.8877,                0.54885,                 1.2933,                0.75133,                 1.3553,               0.005446,               0.005446,               0.005446
                    140,                0.87152,                0.58797,                 1.0604,                0.86475,                0.85602,                0.88408,                0.54915,                 1.3048,                0.72179,                 1.3678,               0.005413,               0.005413,               0.005413
                    141,                0.88585,                0.59103,                 1.0654,                0.86097,                0.83645,                  0.879,                0.54463,                 1.3179,                  0.734,                 1.3893,                0.00538,                0.00538,                0.00538
                    142,                0.87412,                0.58856,                  1.055,                0.85925,                0.84787,                0.88365,                0.54687,                 1.3159,                0.73084,                 1.3744,               0.005347,               0.005347,               0.005347
                    143,                0.86744,                0.58242,                 1.0461,                  0.878,                0.83843,                0.88786,                0.54098,                 1.3294,                0.73268,                 1.3854,               0.005314,               0.005314,               0.005314
                    144,                0.86881,                0.57723,                 1.0522,                0.87756,                0.84556,                0.88439,                0.54136,                   1.31,                0.73851,                 1.3585,               0.005281,               0.005281,               0.005281
                    145,                0.86602,                0.58185,                 1.0509,                 0.8619,                0.84784,                0.87888,                0.53716,                 1.3178,                0.75047,                 1.3671,               0.005248,               0.005248,               0.005248
                    146,                0.86023,                0.58185,                 1.0554,                0.87592,                0.82845,                 0.8782,                0.53282,                  1.333,                0.74694,                 1.3808,               0.005215,               0.005215,               0.005215
                    147,                0.85901,                0.57941,                 1.0369,                0.86948,                 0.8381,                0.88157,                0.53535,                 1.3513,                0.75412,                 1.4155,               0.005182,               0.005182,               0.005182
                    148,                0.85983,                0.58472,                 1.0479,                0.86369,                0.81739,                0.87476,                0.53782,                 1.3269,                0.76642,                 1.3862,               0.005149,               0.005149,               0.005149
                    149,                0.85888,                0.56749,                 1.0395,                0.87587,                 0.8165,                0.87699,                0.53972,                 1.3287,                0.74855,                 1.3899,               0.005116,               0.005116,               0.005116
